collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2020070735879,2020,070735879,2,2,1,1,40,7,3,0,0,0,0,0,19,5,E01006366,-1,0,0.0498,0.9502,-1
202006K171545,2020,06K171545,1,1,3,1,29,6,2,6,9,0,0,0,0,1,E01004869,-1,0,1,0,-1
2020421000780,2020,421000780,1,1,3,1,44,7,3,9,5,0,0,1,0,7,E01021679,3,1,0,1,-1
2020140995655,2020,140995655,1,1,1,2,46,8,3,0,0,0,0,0,9,1,E01007532,3,1,0,1,-1
2020500983103,2020,500983103,1,3,2,1,16,4,1,0,0,1,0,0,9,4,E01019073,1,1,0,0,-1
2020010243147,2020,010243147,1,1,1,1,45,7,3,0,0,0,0,0,19,2,E01001437,-1,0,0,1,-1
2020420920725,2020,420920725,2,1,1,2,46,8,3,0,0,0,0,0,1,7,E01033720,3,1,0,1,-1
2020010261899,2020,010261899,1,1,1,1,39,7,3,0,0,0,0,0,3,4,E01000472,-1,0,0,1,-1
202006K370778,2020,06K370778,1,1,1,2,34,6,3,0,0,0,0,0,9,6,E01025020,-1,0,0.02287,0.97713,-1
202006L168994,2020,06L168994,2,1,1,1,41,7,3,0,0,0,0,0,9,-1,-1,-1,0,0.06213,0.93787,-1
202031B017720,2020,31B017720,1,1,1,2,65,9,3,0,0,0,0,0,9,8,E01024693,-1,0,0.09065,0.90935,-1
2020450956037,2020,450956037,1,2,2,1,25,5,3,0,0,1,0,0,9,4,E01030432,3,1,0,1,-1
2020470922897,2020,470922897,1,1,1,1,40,7,3,0,0,0,0,0,9,2,E01021183,3,1,0,1,-1
